structure_id,core_mof_id,split,target_value,Df (Å),Di (Å),Dif (Å),GPOAV (cm^3/g),GPONAV (cm^3/g),GPOV (cm^3/g),GSA (m^2/g),POAV (Å^3),POAV_vol_frac,PONAV (Å^3),PONAV_vol_frac,VPOV (cm^3/cm^3),VSA (m^2/cm^3),rho (g/cm^3),f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all
ABAVIJ_clean,ABAVIJ,train,1,2.4972,4.45543,4.39809,0,0.0669537,0.066953893,0,0,0,134.811,0.1021,0.1021,0,1320.38,216.734,413.5808,955.7128,1458.0352,2598,6408,9508,10848,26,56,108,176,164,448,652,752,16.8032,40.5104,72.6124,105.392,3.5344,37.2992,38.352,80.7648,729,1242,1296,2268,1,6,8,16,36,84,144,216,1.5876,5.5692,7.7616,13.3056,0,-8.56,-5.36,-12.88,0,116,168,348,0,0,0,0,0,22,24,60,0,3.14,3.92,9.6,91.2838,176.001,261.8652,273.572,397,768,1020,884,13,26,38,42,64,150,190,168,5.7333,12.7666,17.2678,16.611,10.9696,11.016,23.36373333,18.73866667,59,60,107.3333333,82.66666667,1,1.333333333,2.666666667,2.333333333,2,6,8,7.333333333,0.542766667,0.759733333,1.3,1.126966667,0,0.92,1.48,1.91,0,2,6,7,0,0,0,0,0,-2,-1.333333333,-2.333333333,0,-0.04,0.213333333,0.193333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAYIO_clean,ABAYIO,train,1,4.31822,11.38838,11.38634,0.421124,0.083972,0.505096268,1304.51,1917.2,0.3997,382.289,0.0797,0.4794,1238.14,4796.6,145.455,245.256,615.8416,635.296,2484,5668,6624,7136,16,36,64,80,100,244,320,384,12.4592,30.7332,45.7408,55.4128,2.4025,26.226,15.81,37.138,625,1225,600,1400,1,5,4,8,25,45,60,100,1.9321,5.4349,4.2812,8.34,0,-9.17,-4,-11.56,0,76,76,144,0,0,0,0,0,16,8,20,0,3.04,2.48,5.12,144.0441,255.969,399.6456,462.213,711,1260,1896,1944,18,36,54,66,90,216,294,306,8.9442,19.1268,27.591,31.0002,11.8336,8.772,20.6056,17.544,64,48,112,96,1,1,2,2,1,3,4,6,0.5329,0.5621,1.095,1.1242,0,0.89,0.89,1.78,0,2,2,4,0,0,0,0,0,-2,-2,-4,0,-0.04,-0.04,-0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABESUX_clean,ABESUX,train,1,4.42071,5.87733,5.87661,0.108525,0,0.108525185,348.96,565.87,0.4062,0,0,0.4062,1306.13,1393.08,436.088,1016.7072,4112.6432,5075.0936,88488,235840,271872,442072,50,192,496,680,952,4384,7600,10296,54.9416,243.7312,466.5976,668.7688,1.9044,28.25136,41.57664,53.5992,8464,18179.2,15897.6,30102.4,1,7.2,10.4,13.6,54.4,230.4,291.2,339.2,2.89,12.0224,16.0208,22.1816,0,-10.536,-15.776,-20.072,0,464.8,784,924,0,0,0,0,0,24.8,41.6,47.2,0,5.168,8.256,10.072,52.1305,60.2688,142.0032,0,481,960,768,0,5,8,12,0,20,32,12,0,3.2552,6.1904,6.3948,0,10.4261,12.05376,28.40064,0,96.2,192,153.6,0,1,1.6,2.4,0,4,6.4,2.4,0,0.65104,1.23808,1.27896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABETAE_clean,ABETAE,train,1,4.42278,5.88004,5.88004,0.111914,0,0.11191367,365.845,583.538,0.414,0,0,0.414,1353.36,1409.51,436.088,1016.7072,4112.6432,5075.0936,88488,235840,271872,442072,50,192,496,680,952,4384,7600,10296,54.9416,243.7312,466.5976,668.7688,1.9044,28.25136,41.57664,53.5992,8464,18179.2,15897.6,30102.4,1,7.2,10.4,13.6,54.4,230.4,291.2,339.2,2.89,12.0224,16.0208,22.1816,0,-10.536,-15.776,-20.072,0,464.8,784,924,0,0,0,0,0,24.8,41.6,47.2,0,5.168,8.256,10.072,52.1305,60.2688,142.0032,0,481,960,768,0,5,8,12,0,20,32,12,0,3.2552,6.1904,6.3948,0,10.4261,12.05376,28.40064,0,96.2,192,153.6,0,1,1.6,2.4,0,4,6.4,2.4,0,0.65104,1.23808,1.27896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABEXEM_clean,ABEXEM,train,0,4.14331,4.82084,4.80387,0.11364,0,0.113640236,362.586,526.872,0.2001,0,0,0.2001,638.448,2633.04,146.55175,252.523,724.8794,981.954,4041,7692,10124,5364,18,40,84,116,124,354,547,406,12.5446,33.0012,60.3956,65.7272,1.21,27.5,26.6475,42.1575,3249,3306,3249,4617,1,7.5,9.5,13,56.5,128,214.5,218.5,2.8561,9.32035,12.36235,15.1255,0,-16.75,-13.775,-24.025,0,369.5,484.5,660,0,0,0,0,0,39.5,43,69,0,7.16,8.74,13.02,96.45486667,165.495,247.3212,245.8908,490.6666667,840,1204,1128,11.33333333,22,30.66666667,30.66666667,52.66666667,118,138.6666667,126.6666667,5.831,11.89393333,15.9108,15.09106667,11.104,10.66693333,23.65348148,24.75479111,59.77777778,58.13333333,119.8814815,125.3777778,1,1.281481481,2.562962963,2.562962963,1.844444444,5.533333333,7.940740741,6.303703704,0.541231852,0.72899037,1.348333333,1.336423704,0,0.915333333,1.151777778,0.789407407,0,2,3.688888889,2.896296296,0,0,0,0,0,-2,-1.718518519,-0.925925926,0,-0.04,0.066962963,0.082814815,3.944533333,2.924,6.868533333,6.409866667,21.33333333,16,37.33333333,34.66666667,0.333333333,0.333333333,0.666666667,0.666666667,0.333333333,1,1.333333333,1.666666667,0.177633333,0.187366667,0.365,0.369866667,0,0.296666667,0.296666667,0.43,0,0.666666667,0.666666667,1,0,0,0,0,0,-0.666666667,-0.666666667,-1,0,-0.013333333,-0.013333333,-0.02
ABEXIQ_clean,ABEXIQ,train,0,4.06893,4.80529,4.80529,0.121112,0,0.121112106,336.506,563.461,0.2165,0,0,0.2165,601.538,2602.59,146.59615,253.523,725.8484,981.954,4156,7808,10238,5364,18,40,84,116,124,354,547,406,12.3454,32.3394,59.5178,65.7272,1.2544,28,27.132,42.924,3364,3364,3306,4698,1,7.5,9.5,13,56.5,128,214.5,218.5,2.6569,8.98945,11.92345,14.5885,0,-16.6,-13.585,-23.765,0,377,494,673,0,0,0,0,0,39.5,43,69,0,6.71,8.17,12.24,96.45486667,165.495,247.3212,245.8908,490.6666667,840,1204,1128,11.33333333,22,30.66666667,30.66666667,52.66666667,118,138.6666667,126.6666667,5.831,11.89393333,15.9108,15.09106667,11.104,10.66693333,23.65348148,24.75479111,59.77777778,58.13333333,119.8814815,125.3777778,1,1.281481481,2.562962963,2.562962963,1.844444444,5.533333333,7.940740741,6.303703704,0.541231852,0.72899037,1.348333333,1.336423704,0,0.915333333,1.151777778,0.789407407,0,2,3.688888889,2.896296296,0,0,0,0,0,-2,-1.718518519,-0.925925926,0,-0.04,0.066962963,0.082814815,3.944533333,2.924,6.868533333,6.409866667,21.33333333,16,37.33333333,34.66666667,0.333333333,0.333333333,0.666666667,0.666666667,0.333333333,1,1.333333333,1.666666667,0.177633333,0.187366667,0.365,0.369866667,0,0.296666667,0.296666667,0.43,0,0.666666667,0.666666667,1,0,0,0,0,0,-0.666666667,-0.666666667,-1,0,-0.013333333,-0.013333333,-0.02
ABEXOW_clean,ABEXOW,train,0,4.04921,4.7727,4.7549,0.105769,0,0.105769602,317.84,493.193,0.1917,0,0,0.1917,576.064,2572.73,146.61865,254.023,726.3329,981.954,4273,7924,10352,5364,18,40,84,116,124,354,547,406,12.7861,33.7733,61.4197,65.7272,1.2769,28.25,27.37425,43.30725,3481,3422,3363,4779,1,7.5,9.5,13,56.5,128,214.5,218.5,3.0976,9.7064,12.8744,15.752,0,-16.525,-13.49,-23.635,0,384.5,503.5,686,0,0,0,0,0,39.5,43,69,0,7.685,9.405,13.93,96.45486667,165.495,247.3212,245.8908,490.6666667,840,1204,1128,11.33333333,22,30.66666667,30.66666667,52.66666667,118,138.6666667,126.6666667,5.831,11.89393333,15.9108,15.09106667,11.104,10.66693333,23.65348148,24.75479111,59.77777778,58.13333333,119.8814815,125.3777778,1,1.281481481,2.562962963,2.562962963,1.844444444,5.533333333,7.940740741,6.303703704,0.541231852,0.72899037,1.348333333,1.336423704,0,0.915333333,1.151777778,0.789407407,0,2,3.688888889,2.896296296,0,0,0,0,0,-2,-1.718518519,-0.925925926,0,-0.04,0.066962963,0.082814815,3.944533333,2.924,6.868533333,6.409866667,21.33333333,16,37.33333333,34.66666667,0.333333333,0.333333333,0.666666667,0.666666667,0.333333333,1,1.333333333,1.666666667,0.177633333,0.187366667,0.365,0.369866667,0,0.296666667,0.296666667,0.43,0,0.666666667,0.666666667,1,0,0,0,0,0,-0.666666667,-0.666666667,-1,0,-0.013333333,-0.013333333,-0.02
ABEYAJ_clean,ABEYAJ,train,0,3.9715,4.73097,4.71386,0.0955726,0,0.095572306,273.913,457.647,0.1822,0,0,0.1822,522.19,2511.78,146.71065,256.023,728.2709,981.954,4636,8272,10694,5364,18,40,84,116,124,354,547,406,12.6469,33.3321,60.8345,65.7272,1.3689,29.25,28.34325,44.84025,3844,3596,3534,5022,1,7.5,9.5,13,56.5,128,214.5,218.5,2.9584,9.4858,12.5818,15.394,0,-16.225,-13.11,-23.115,0,407,532,725,0,0,0,0,0,39.5,43,69,0,7.385,9.025,13.41,96.45486667,165.495,247.3212,245.8908,490.6666667,840,1204,1128,11.33333333,22,30.66666667,30.66666667,52.66666667,118,138.6666667,126.6666667,5.831,11.89393333,15.9108,15.09106667,11.104,10.66693333,23.65348148,24.75479111,59.77777778,58.13333333,119.8814815,125.3777778,1,1.281481481,2.562962963,2.562962963,1.844444444,5.533333333,7.940740741,6.303703704,0.541231852,0.72899037,1.348333333,1.336423704,0,0.915333333,1.151777778,0.789407407,0,2,3.688888889,2.896296296,0,0,0,0,0,-2,-1.718518519,-0.925925926,0,-0.04,0.066962963,0.082814815,3.944533333,2.924,6.868533333,6.409866667,21.33333333,16,37.33333333,34.66666667,0.333333333,0.333333333,0.666666667,0.666666667,0.333333333,1,1.333333333,1.666666667,0.177633333,0.187366667,0.365,0.369866667,0,0.296666667,0.296666667,0.43,0,0.666666667,0.666666667,1,0,0,0,0,0,-0.666666667,-0.666666667,-1,0,-0.013333333,-0.013333333,-0.02
ABEYEN_clean,ABEYEN,train,0,3.94356,4.70447,4.68752,0.0890998,0,0.089099673,250.624,428.551,0.1719,0,0,0.1719,483.527,2493.02,146.78175,257.523,729.7244,981.954,4761,8388,10808,5364,18,40,84,116,124,354,547,406,12.5109,32.8909,60.2493,65.7272,1.44,30,29.07,45.99,3969,3654,3591,5103,1,7.5,9.5,13,56.5,128,214.5,218.5,2.8224,9.2652,12.2892,15.036,0,-16,-12.825,-22.725,0,414.5,541.5,738,0,0,0,0,0,39.5,43,69,0,7.085,8.645,12.89,96.45486667,165.495,247.3212,245.8908,490.6666667,840,1204,1128,11.33333333,22,30.66666667,30.66666667,52.66666667,118,138.6666667,126.6666667,5.831,11.89393333,15.9108,15.09106667,11.104,10.66693333,23.65348148,24.75479111,59.77777778,58.13333333,119.8814815,125.3777778,1,1.281481481,2.562962963,2.562962963,1.844444444,5.533333333,7.940740741,6.303703704,0.541231852,0.72899037,1.348333333,1.336423704,0,0.915333333,1.151777778,0.789407407,0,2,3.688888889,2.896296296,0,0,0,0,0,-2,-1.718518519,-0.925925926,0,-0.04,0.066962963,0.082814815,3.944533333,2.924,6.868533333,6.409866667,21.33333333,16,37.33333333,34.66666667,0.333333333,0.333333333,0.666666667,0.666666667,0.333333333,1,1.333333333,1.666666667,0.177633333,0.187366667,0.365,0.369866667,0,0.296666667,0.296666667,0.43,0,0.666666667,0.666666667,1,0,0,0,0,0,-0.666666667,-0.666666667,-1,0,-0.013333333,-0.013333333,-0.02
ACAJOF_clean,ACAJOF,train,0,6.10482,6.86398,6.86398,0.237874,0,0.237874474,796.955,925.181,0.2899,0,0,0.2899,971.259,3191.38,172.392,330.048,688.2868,930.368,2580,5628,7264,8224,20,44,76,112,120,308,428,512,13.9402,33.872,53.6868,70.3264,3.61,31.92,29.07,63.574,841,1131,1044,2030,1,5,6,12,25,55,90,160,1.9044,5.0646,6.3756,11.4264,0,-7.3,-3.9,-10.66,0,106,138,278,0,0,0,0,0,14,12,28,0,3.23,3.66,8.28,129.5165,251.396,416.4419333,503.5766667,488,952,1259.333333,1058.666667,19.66666667,38.66666667,65.33333333,82.66666667,104,256,323.3333333,306.6666667,7.5281,17.38146667,24.93773333,26.176,10.9696,11.016,23.36373333,22.98133333,59,60,107.3333333,61.33333333,1,1.333333333,2.666666667,3,2,6,8.666666667,7.333333333,0.542766667,0.759733333,1.3,1.112366667,0,0.92,1.48,2.97,0,2,6,15,0,0,0,0,0,-2,-2,-1.666666667,0,-0.04,0.213333333,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
